Config,SR_mean,SR_sig,SR_nvalid,SR_ntotal,Recov_mean,Recov_sig,Recov_nvalid,Recov_ntotal,#Freeze_mean,#Freeze_sig,#Freeze_nvalid,#Freeze_ntotal,Detour%_mean,Detour%_sig,Detour%_nvalid,Detour%_ntotal,CR_mean,CR_sig,CR_nvalid,CR_ntotal,TTG_mean,TTG_sig,TTG_nvalid,TTG_ntotal
FULL,0.852000,,1000,1000,1.000000,,9,1000,0.009000,,1000,1000,6.304151,,852,1000,0.148000,,1000,1000,9.410329,,852,1000
NO_SUB,1.000000,,1000,1000,1.000000,,250,1000,0.563000,,1000,1000,69.031195,,1000,1000,0.000000,,1000,1000,12.372800,,1000,1000
NO_SUPER,0.852000,,1000,1000,1.000000,,9,1000,0.009000,,1000,1000,6.304151,,852,1000,0.148000,,1000,1000,9.410329,,852,1000
NO_PPO,0.852000,,1000,1000,1.000000,,9,1000,0.009000,,1000,1000,6.302125,,852,1000,0.148000,,1000,1000,9.410329,,852,1000
SUB_ONLY,0.852000,,1000,1000,1.000000,,9,1000,0.009000,,1000,1000,6.302125,,852,1000,0.148000,,1000,1000,9.410329,,852,1000
SUPER_ONLY,1.000000,,1000,1000,1.000000,,250,1000,0.597000,,1000,1000,71.087544,,1000,1000,0.000000,,1000,1000,12.422900,,1000,1000
PPO_ONLY,0.244000,,1000,1000,,,0,1000,0.000000,,1000,1000,-4.031880,,244,1000,0.756000,,1000,1000,3.968852,,244,1000
