Config,SR_mean,SR_sig,SR_nvalid,SR_ntotal,Recov_mean,Recov_sig,Recov_nvalid,Recov_ntotal,#Freeze_mean,#Freeze_sig,#Freeze_nvalid,#Freeze_ntotal,Detour%_mean,Detour%_sig,Detour%_nvalid,Detour%_ntotal,CR_mean,CR_sig,CR_nvalid,CR_ntotal,TTG_mean,TTG_sig,TTG_nvalid,TTG_ntotal
FULL,0.084000,,1000,1000,1.000000,,140,1000,0.264000,,1000,1000,25.730907,,84,1000,0.916000,,1000,1000,14.336905,,84,1000
NO_SUB,0.970000,,1000,1000,0.980406,,961,1000,6.030000,,1000,1000,164.474643,,970,1000,0.000000,,1000,1000,17.497113,,970,1000
NO_SUPER,0.084000,,1000,1000,1.000000,,140,1000,0.264000,,1000,1000,25.730907,,84,1000,0.916000,,1000,1000,14.336905,,84,1000
NO_PPO,0.087000,,1000,1000,1.000000,,140,1000,0.145000,,1000,1000,23.707030,,87,1000,0.913000,,1000,1000,14.459770,,87,1000
SUB_ONLY,0.087000,,1000,1000,1.000000,,140,1000,0.145000,,1000,1000,23.707030,,87,1000,0.913000,,1000,1000,14.459770,,87,1000
SUPER_ONLY,0.581000,,1000,1000,0.693816,,961,1000,4.228000,,1000,1000,234.599050,,581,1000,0.000000,,1000,1000,20.163339,,581,1000
PPO_ONLY,0.341000,,1000,1000,,,0,1000,0.000000,,1000,1000,-4.045874,,341,1000,0.659000,,1000,1000,3.913783,,341,1000
