Config,CR_mean,CR_sig,CR_nvalid,CR_ntotal,MinClr_mean,MinClr_sig,MinClr_nvalid,MinClr_ntotal,ReactDist_mean,ReactDist_sig,ReactDist_nvalid,ReactDist_ntotal,SR_mean,SR_sig,SR_nvalid,SR_ntotal,TTG_mean,TTG_sig,TTG_nvalid,TTG_ntotal,Detour%_mean,Detour%_sig,Detour%_nvalid,Detour%_ntotal
FULL,0.502000,,1000,1000,0.556105,,1000,1000,1.277542,,997,1000,0.477000,,1000,1000,14.885535,,477,1000,92.844177,,477,1000
NO_SUB,0.001000,,1000,1000,0.541560,,1000,1000,1.124447,,1000,1000,0.933000,,1000,1000,16.843730,,933,1000,114.426339,,933,1000
NO_SUPER,0.940000,,1000,1000,0.926969,,1000,1000,1.364328,,997,1000,0.060000,,1000,1000,16.823333,,60,1000,56.595603,,60,1000
NO_PPO,0.589000,,1000,1000,0.575192,,1000,1000,1.280753,,993,1000,0.409000,,1000,1000,17.820049,,409,1000,102.651708,,409,1000
SUB_ONLY,0.966000,,1000,1000,1.148506,,1000,1000,1.367390,,993,1000,0.034000,,1000,1000,14.844118,,34,1000,30.743073,,34,1000
SUPER_ONLY,0.005000,,1000,1000,0.544447,,1000,1000,1.124447,,1000,1000,0.835000,,1000,1000,17.746108,,835,1000,122.659798,,835,1000
PPO_ONLY,0.110000,,1000,1000,0.351435,,1000,1000,0.972618,,1000,1000,0.890000,,1000,1000,3.337416,,890,1000,-3.609808,,890,1000
