Config,SR_mean,SR_sig,SR_nvalid,SR_ntotal,CR_mean,CR_sig,CR_nvalid,CR_ntotal,SPL_mean,SPL_sig,SPL_nvalid,SPL_ntotal,LDLJ_mean,LDLJ_sig,LDLJ_nvalid,LDLJ_ntotal,TTG_mean,TTG_sig,TTG_nvalid,TTG_ntotal,VelVar_mean,VelVar_sig,VelVar_nvalid,VelVar_ntotal,MinClr_mean,MinClr_sig,MinClr_nvalid,MinClr_ntotal,Recov_mean,Recov_sig,Recov_nvalid,Recov_ntotal,Detour%_mean,Detour%_sig,Detour%_nvalid,Detour%_ntotal
FULL,0.348000,,1000,1000,0.623000,,1000,1000,0.225367,,1000,1000,9.171926,,1000,1000,16.944253,,348,1000,0.137116,,1000,1000,0.758090,,1000,1000,0.978306,,366,1000,57.721203,,348,1000
NO_SUB,0.983000,,1000,1000,0.000000,,1000,1000,0.510309,,1000,1000,16.655158,,1000,1000,14.474262,,983,1000,0.276627,,1000,1000,0.626749,,1000,1000,0.965953,,885,1000,97.864155,,983,1000
NO_SUPER,0.240000,,1000,1000,0.751000,,1000,1000,0.173357,,1000,1000,8.246465,,1000,1000,17.206250,,240,1000,0.142920,,1000,1000,0.776414,,1000,1000,0.990228,,307,1000,39.774616,,240,1000
NO_PPO,0.364000,,1000,1000,0.636000,,1000,1000,0.236675,,1000,1000,8.379083,,1000,1000,17.689286,,364,1000,0.131128,,1000,1000,0.766867,,1000,1000,0.943989,,366,1000,59.613769,,364,1000
SUB_ONLY,0.200000,,1000,1000,0.800000,,1000,1000,0.156624,,1000,1000,6.345260,,1000,1000,17.540000,,200,1000,0.132473,,1000,1000,0.785202,,1000,1000,0.592834,,307,1000,28.029117,,200,1000
SUPER_ONLY,1.000000,,1000,1000,0.000000,,1000,1000,0.489533,,1000,1000,16.997627,,1000,1000,16.833100,,1000,1000,0.286016,,1000,1000,0.644358,,1000,1000,0.986252,,885,1000,113.502348,,1000,1000
PPO_ONLY,0.715000,,1000,1000,0.288000,,1000,1000,0.684455,,1000,1000,7.081116,,1000,1000,3.735804,,715,1000,0.089518,,1000,1000,0.166873,,1000,1000,0.666667,,6,1000,3.726668,,715,1000
