Config,LDLJ_mean,LDLJ_sig,LDLJ_nvalid,LDLJ_ntotal,VelVar_mean,VelVar_sig,VelVar_nvalid,VelVar_ntotal,TTG_mean,TTG_sig,TTG_nvalid,TTG_ntotal,SPL_mean,SPL_sig,SPL_nvalid,SPL_ntotal,PathLen_mean,PathLen_sig,PathLen_nvalid,PathLen_ntotal,SR_mean,SR_sig,SR_nvalid,SR_ntotal,CR_mean,CR_sig,CR_nvalid,CR_ntotal
FULL,7.529876,,1000,1000,0.157462,,1000,1000,10.313454,,498,1000,0.436627,,1000,1000,7.988218,,1000,1000,0.498000,,1000,1000,0.449000,,1000,1000
NO_SUB,14.840490,,1000,1000,0.286156,,1000,1000,10.455300,,1000,1000,0.846993,,1000,1000,7.965589,,1000,1000,1.000000,,1000,1000,0.000000,,1000,1000
NO_SUPER,7.203491,,1000,1000,0.157290,,1000,1000,10.610856,,479,1000,0.416294,,1000,1000,7.887539,,1000,1000,0.479000,,1000,1000,0.471000,,1000,1000
NO_PPO,7.124896,,1000,1000,0.160772,,1000,1000,10.547266,,512,1000,0.448048,,1000,1000,6.629196,,1000,1000,0.512000,,1000,1000,0.449000,,1000,1000
SUB_ONLY,6.773102,,1000,1000,0.160400,,1000,1000,10.845233,,493,1000,0.427716,,1000,1000,6.621013,,1000,1000,0.493000,,1000,1000,0.471000,,1000,1000
SUPER_ONLY,14.850807,,1000,1000,0.285475,,1000,1000,10.520721,,999,1000,0.845101,,1000,1000,8.115551,,1000,1000,0.999000,,1000,1000,0.000000,,1000,1000
PPO_ONLY,5.461615,,1000,1000,0.159895,,1000,1000,3.812184,,911,1000,0.911000,,1000,1000,6.072833,,1000,1000,0.911000,,1000,1000,0.089000,,1000,1000
