Config,CR_mean,CR_sig,CR_nvalid,CR_ntotal,MinClr_mean,MinClr_sig,MinClr_nvalid,MinClr_ntotal,ReactDist_mean,ReactDist_sig,ReactDist_nvalid,ReactDist_ntotal,SR_mean,SR_sig,SR_nvalid,SR_ntotal,TTG_mean,TTG_sig,TTG_nvalid,TTG_ntotal,Detour%_mean,Detour%_sig,Detour%_nvalid,Detour%_ntotal
FULL,0.101000,,1000,1000,0.755814,,1000,1000,1.070334,,477,1000,0.899000,,1000,1000,13.356841,,899,1000,20.250507,,899,1000
NO_SUB,0.000000,,1000,1000,0.613672,,1000,1000,0.862258,,682,1000,1.000000,,1000,1000,10.178000,,1000,1000,32.915472,,1000,1000
NO_SUPER,0.163000,,1000,1000,0.849339,,1000,1000,1.127964,,477,1000,0.837000,,1000,1000,13.188053,,837,1000,14.943542,,837,1000
NO_PPO,0.102000,,1000,1000,0.756029,,1000,1000,1.070334,,477,1000,0.467000,,1000,1000,11.023769,,467,1000,13.453445,,467,1000
SUB_ONLY,0.163000,,1000,1000,0.849367,,1000,1000,1.127964,,477,1000,0.434000,,1000,1000,10.836175,,434,1000,7.706865,,434,1000
SUPER_ONLY,0.000000,,1000,1000,0.613702,,1000,1000,0.862258,,682,1000,0.998000,,1000,1000,10.191283,,998,1000,33.197803,,998,1000
PPO_ONLY,0.222000,,1000,1000,0.254191,,1000,1000,0.783521,,940,1000,0.778000,,1000,1000,3.497686,,778,1000,-4.278037,,778,1000
