Config,LDLJ_mean,LDLJ_sig,LDLJ_nvalid,LDLJ_ntotal,VelVar_mean,VelVar_sig,VelVar_nvalid,VelVar_ntotal,TTG_mean,TTG_sig,TTG_nvalid,TTG_ntotal,SPL_mean,SPL_sig,SPL_nvalid,SPL_ntotal,PathLen_mean,PathLen_sig,PathLen_nvalid,PathLen_ntotal,SR_mean,SR_sig,SR_nvalid,SR_ntotal,CR_mean,CR_sig,CR_nvalid,CR_ntotal
FULL,6.719549,,1000,1000,0.199296,,1000,1000,8.860771,,752,1000,0.717717,,1000,1000,6.699096,,1000,1000,0.752000,,1000,1000,0.248000,,1000,1000
NO_SUB,15.894774,,1000,1000,0.306426,,1000,1000,11.894100,,1000,1000,0.690142,,1000,1000,10.596163,,1000,1000,1.000000,,1000,1000,0.000000,,1000,1000
NO_SUPER,6.702487,,1000,1000,0.199295,,1000,1000,8.858644,,752,1000,0.717979,,1000,1000,6.696660,,1000,1000,0.752000,,1000,1000,0.248000,,1000,1000
NO_PPO,6.719549,,1000,1000,0.199296,,1000,1000,8.860771,,752,1000,0.717717,,1000,1000,6.699096,,1000,1000,0.752000,,1000,1000,0.248000,,1000,1000
SUB_ONLY,6.702487,,1000,1000,0.199295,,1000,1000,8.858644,,752,1000,0.717979,,1000,1000,6.696660,,1000,1000,0.752000,,1000,1000,0.248000,,1000,1000
SUPER_ONLY,18.168314,,1000,1000,0.320639,,1000,1000,16.264745,,451,1000,0.284555,,1000,1000,20.290523,,1000,1000,0.451000,,1000,1000,0.000000,,1000,1000
PPO_ONLY,6.327810,,1000,1000,0.101732,,1000,1000,4.004918,,671,1000,0.670149,,1000,1000,5.709355,,1000,1000,0.671000,,1000,1000,0.329000,,1000,1000
